Image Index,ROI1 Blue Intensity LOWESS,ROI2 Blue Intensity LOWESS,ROI3 Blue Intensity LOWESS,ROI4 Blue Intensity LOWESS,ROI5 Blue Intensity LOWESS,R1,R2,ROI3 Blue Intensity LOWESS,R4,R5,,,,,
120,55.25917688,40.42559254,33.46360477,38.09970061,44.46728283,34.68448688,33.59815354,33.46360477,33.46068361,33.07059283,,,,,
121,55.31733206,40.42868759,33.46141321,38.0966344,44.46179826,34.74264206,33.60124859,33.46141321,33.4576174,33.06510826,,,,,
122,55.37914542,40.43216661,33.45931898,38.09357968,44.45642106,34.80445542,33.60472761,33.45931898,33.45456268,33.05973106,,,,,
123,55.44476485,40.43605389,33.45732805,38.09053946,44.45115588,34.87007485,33.60861489,33.45732805,33.45152246,33.05446588,,,,,
124,55.51433872,40.4403744,33.45544634,38.08751686,44.44600677,34.93964872,33.6129354,33.45544634,33.44849986,33.04931677,,,,,
125,55.58801062,40.44515564,33.45368036,38.08451502,44.44097736,35.01332062,33.61771664,33.45368036,33.44549802,33.04428736,,,,,
126,55.6659244,40.4504259,33.45203638,38.08153728,44.43607096,35.0912344,33.6229869,33.45203638,33.44252028,33.03938096,,,,,
127,55.74822498,40.45621353,33.4505202,38.07858667,44.43129025,35.17353498,33.62877453,33.4505202,33.43956967,33.03460025,,,,,
128,55.83505641,40.4625458,33.44913612,38.07566509,44.42663604,35.26036641,33.6351068,33.44913612,33.43664809,33.02994604,,,,,
129,55.92655992,40.4694507,33.44788773,38.07277435,44.42210835,35.35186992,33.6420117,33.44788773,33.43375735,33.02541835,,,,,
130,56.0228672,40.47695921,33.44677892,38.06991634,44.41770695,35.4481772,33.64952021,33.44677892,33.43089934,33.02101695,,,,,
131,56.12410808,40.48510339,33.44581371,38.06709301,44.4134308,35.54941808,33.65766439,33.44581371,33.42807601,33.0167408,,,,,
132,56.23040925,40.49391668,33.44499653,38.06430646,44.4092786,35.65571925,33.66647768,33.44499653,33.42528946,33.0125886,,,,,
133,56.34188542,40.50343601,33.44433258,38.06155886,44.40524859,35.76719542,33.67599701,33.44433258,33.42254186,33.00855859,,,,,
134,56.45864572,40.51369936,33.44382626,38.05885129,44.40133738,35.88395572,33.68626036,33.44382626,33.41983429,33.00464738,,,,,
135,56.58078905,40.52475104,33.44348357,38.05618571,44.39754217,36.00609905,33.69731204,33.44348357,33.41716871,33.00085217,,,,,
136,56.70840398,40.53664033,33.44331094,38.05356455,44.39385996,36.13371398,33.70920133,33.44331094,33.41454755,32.99716996,,,,,
137,56.84157438,40.54941599,33.44331252,38.05098806,44.39028505,36.26688438,33.72197699,33.44331252,33.41197106,32.99359505,,,,,
138,56.98037011,40.56312581,33.44348759,38.0484517,44.38680795,36.40568011,33.73568681,33.44348759,33.4094347,32.99011795,,,,,
139,57.12486006,40.57781747,33.44383428,38.04595068,44.38341855,36.55017006,33.75037847,33.44383428,33.40693368,32.98672855,,,,,
140,57.27511351,40.59354115,33.44435079,38.04348124,44.38010724,36.70042351,33.76610215,33.44435079,33.40446424,32.98341724,,,,,
141,57.43119274,40.61035539,33.44503681,38.04104143,44.37686621,36.85650274,33.78291639,33.44503681,33.40202443,32.98017621,,,,,
142,57.59316045,40.62832247,33.44589305,38.03863001,44.37368832,37.01847045,33.80088347,33.44589305,33.39961301,32.97699832,,,,,
143,57.76107847,40.64750856,33.44692022,38.03624511,44.37056589,37.18638847,33.82006956,33.44692022,33.39722811,32.97387589,,,,,
144,57.93500202,40.66799092,33.44812168,38.03388677,44.36749311,37.36031202,33.84055192,33.44812168,33.39486977,32.97080311,,,,,
145,58.11498411,40.68984979,33.44950049,38.03155437,44.36446324,37.54029411,33.86241079,33.44950049,33.39253737,32.96777324,,,,,
146,58.30107564,40.71316962,33.45105896,38.02924594,44.36146815,37.72638564,33.88573062,33.45105896,33.39022894,32.96477815,,,,,
147,58.49331997,40.73805025,33.45280202,38.02696152,44.35850174,37.91862997,33.91061125,33.45280202,33.38794452,32.96181174,,,,,
148,58.69175351,40.76460618,33.45473661,38.02470215,44.3555594,38.11706351,33.93716718,33.45473661,33.38568515,32.9588694,,,,,
149,58.89641176,40.79296103,33.45687105,38.02246965,44.35263717,38.32172176,33.96552203,33.45687105,33.38345265,32.95594717,,,,,
150,59.107326,40.82325085,33.45921605,38.02026804,44.34973283,38.532636,33.99581185,33.45921605,33.38125104,32.95304283,,,,,
151,59.32452538,40.85561503,33.46178171,38.0181011,44.34684358,38.74983538,34.02817603,33.46178171,33.3790841,32.95015358,,,,,
152,59.54803769,40.89019856,33.46457856,38.01597237,44.34396698,38.97334769,34.06275956,33.46457856,33.37695537,32.94727698,,,,,
153,59.77788461,40.92715566,33.46761798,38.01388555,44.34110073,39.20319461,34.09971666,33.46761798,33.37486855,32.94441073,,,,,
154,60.01408336,40.96664369,33.47090985,38.01184302,44.33824147,39.43939336,34.13920469,33.47090985,33.37282602,32.94155147,,,,,
155,60.25664831,41.00882553,33.4744642,38.00984686,44.33538644,39.68195831,34.18138653,33.4744642,33.37082986,32.93869644,,,,,
156,60.50558729,41.05387032,33.47829232,38.00789898,44.33253326,39.93089729,34.22643132,33.47829232,33.36888198,32.93584326,,,,,
157,60.76090217,41.10194948,33.48240531,38.00600004,44.32967869,40.18621217,34.27451048,33.48240531,33.36698304,32.93298869,,,,,
158,61.02259006,41.15323795,33.48681667,38.00415175,44.32682094,40.44790006,34.32579895,33.48681667,33.36513475,32.93013094,,,,,
159,61.29064259,41.2079118,33.49153863,38.00235423,44.32395653,40.71595259,34.3804728,33.49153863,33.36333723,32.92726653,,,,,
160,61.56504481,41.26614676,33.49658227,38.00060582,44.32108028,40.99035481,34.43870776,33.49658227,33.36158882,32.92439028,,,,,
161,61.84577615,41.32811583,33.50196217,37.99890619,44.31818888,41.27108615,34.50067683,33.50196217,33.35988919,32.92149888,,,,,
162,62.13280985,41.39398791,33.50769513,37.99725561,44.31527981,41.55811985,34.56654891,33.50769513,33.35823861,32.91858981,,,,,
163,62.42611372,41.46393258,33.51379826,37.99565441,44.31235126,41.85142372,34.63649358,33.51379826,33.35663741,32.91566126,,,,,
164,62.72564951,41.53811821,33.52028908,37.99410238,44.3094009,42.15095951,34.71067921,33.52028908,33.35508538,32.9127109,,,,,
